text,aspect,v,a,id,category,opinion,source
"everything was wonderful ; food , drinks , staff , mileau .",food,7.75,7.75,rest16_quad_dev_65,FOOD#QUALITY,wonderful,eng_restaurant_train_alltasks
"everything was wonderful ; food , drinks , staff , mileau .",drinks,7.75,7.75,rest16_quad_dev_65,DRINKS#QUALITY,wonderful,eng_restaurant_train_alltasks
"everything was wonderful ; food , drinks , staff , mileau .",staff,7.75,7.75,rest16_quad_dev_65,SERVICE#GENERAL,wonderful,eng_restaurant_train_alltasks
"everything was wonderful ; food , drinks , staff , mileau .",mileau,7.75,7.75,rest16_quad_dev_65,AMBIENCE#GENERAL,wonderful,eng_restaurant_train_alltasks
"everything was wonderful ; food , drinks , staff , mileau .",NULL,7.75,7.75,rest16_quad_dev_65,RESTAURANT#GENERAL,wonderful,eng_restaurant_train_alltasks
i would highly recommend this place !,place,8.38,8.62,rest16_quad_dev_66,RESTAURANT#GENERAL,highly recommend,eng_restaurant_train_alltasks
fresh ingredients and everything is made to order .,ingredients,7.5,7.38,rest16_quad_dev_67,FOOD#QUALITY,fresh,eng_restaurant_train_alltasks
fresh ingredients and everything is made to order .,NULL,5.25,5.12,rest16_quad_dev_67,FOOD#QUALITY,NULL,eng_restaurant_train_alltasks
friendly staff that actually lets you enjoy your meal and the company you ' re with .,staff,7.0,7.2,rest16_quad_dev_68,SERVICE#GENERAL,friendly,eng_restaurant_train_alltasks
i will definitely be going back .,NULL,5.33,5.33,rest16_quad_dev_69,RESTAURANT#GENERAL,NULL,eng_restaurant_train_alltasks
a great choice at any cost and a great deal .,NULL,7.83,6.83,rest16_quad_dev_70,RESTAURANT#GENERAL,great,eng_restaurant_train_alltasks
a great choice at any cost and a great deal .,NULL,7.67,6.67,rest16_quad_dev_70,RESTAURANT#PRICES,great,eng_restaurant_train_alltasks
"thalia is a beautiful restaurant with beautiful people serving you , but the food does n ' t quite match up .",people,7.33,7.67,rest16_quad_dev_71,SERVICE#GENERAL,beautiful,eng_restaurant_train_alltasks
"thalia is a beautiful restaurant with beautiful people serving you , but the food does n ' t quite match up .",food,3.67,6.5,rest16_quad_dev_71,FOOD#QUALITY,does n ' t quite match up,eng_restaurant_train_alltasks
"thalia is a beautiful restaurant with beautiful people serving you , but the food does n ' t quite match up .",thalia,7.17,7.33,rest16_quad_dev_71,AMBIENCE#GENERAL,beautiful,eng_restaurant_train_alltasks
i ordered the smoked salmon and roe appetizer and it was off flavor .,smoked salmon and roe appetizer,3.88,4.5,rest16_quad_dev_72,FOOD#QUALITY,off flavor,eng_restaurant_train_alltasks
"the food is good , especially their more basic dishes , and the drinks are delicious .",food,6.88,6.75,rest16_quad_dev_73,FOOD#QUALITY,good,eng_restaurant_train_alltasks
"the food is good , especially their more basic dishes , and the drinks are delicious .",basic dishes,6.88,6.75,rest16_quad_dev_73,FOOD#QUALITY,good,eng_restaurant_train_alltasks
"the food is good , especially their more basic dishes , and the drinks are delicious .",drinks,7.12,7.0,rest16_quad_dev_73,DRINKS#QUALITY,delicious,eng_restaurant_train_alltasks
the big complaint : no toasting available .,NULL,3.75,5.75,rest16_quad_dev_74,SERVICE#GENERAL,big complaint,eng_restaurant_train_alltasks
i ' ve been many time and have never been disappointed .,NULL,7.62,7.25,rest16_quad_dev_75,RESTAURANT#GENERAL,never been disappointed,eng_restaurant_train_alltasks
the turkey burgers are scary !,turkey burgers,2.7,6.1,rest16_quad_dev_76,FOOD#QUALITY,scary,eng_restaurant_train_alltasks
"for authentic thai food , look no further than toons .",thai food,7.5,7.38,rest16_quad_dev_77,FOOD#QUALITY,authentic,eng_restaurant_train_alltasks
"try the pad thai , or sample anything on the appetizer menu . . . they ' re all delicious .",pad thai,8.0,8.0,rest16_quad_dev_78,FOOD#QUALITY,delicious,eng_restaurant_train_alltasks
"try the pad thai , or sample anything on the appetizer menu . . . they ' re all delicious .",pad thai,8.0,8.0,rest16_quad_dev_78,FOOD#QUALITY,delicious,eng_restaurant_train_alltasks
service was good and food is wonderful .,service,7.5,7.67,rest16_quad_dev_79,SERVICE#GENERAL,good,eng_restaurant_train_alltasks
service was good and food is wonderful .,food,7.83,8.0,rest16_quad_dev_79,FOOD#QUALITY,wonderful,eng_restaurant_train_alltasks
it is definitely a good spot for snacks and chat .,spot,6.62,6.38,rest16_quad_dev_80,RESTAURANT#GENERAL,good,eng_restaurant_train_alltasks
"do not get the go go hamburgers , no matter what the reviews say .",go go hamburgers,4.0,4.67,rest16_quad_dev_81,FOOD#QUALITY,NULL,eng_restaurant_train_alltasks
steamed fresh so brought hot hot hot to your table .,NULL,7.88,8.0,rest16_quad_dev_82,FOOD#QUALITY,fresh,eng_restaurant_train_alltasks
"small servings for main entree , i had salmon ( wasnt impressed ) girlfriend had chicken , it was good .",salmon,3.83,5.5,rest16_quad_dev_83,FOOD#QUALITY,wasnt impressed,eng_restaurant_train_alltasks
"small servings for main entree , i had salmon ( wasnt impressed ) girlfriend had chicken , it was good .",chicken,6.17,6.0,rest16_quad_dev_83,FOOD#QUALITY,good,eng_restaurant_train_alltasks
"small servings for main entree , i had salmon ( wasnt impressed ) girlfriend had chicken , it was good .",servings for main entree,4.17,5.17,rest16_quad_dev_83,FOOD#GENERAL,small,eng_restaurant_train_alltasks
cute and decorative .,NULL,7.1,6.9,rest16_quad_dev_84,AMBIENCE#GENERAL,cute,eng_restaurant_train_alltasks
cute and decorative .,NULL,7.1,6.9,rest16_quad_dev_84,AMBIENCE#GENERAL,decorative,eng_restaurant_train_alltasks
excellent spot for holiday get togethers with co - workers or friends that you have n ' t seen in a while .,spot,8.12,7.88,rest16_quad_dev_85,RESTAURANT#MISCELLANEOUS,excellent,eng_restaurant_train_alltasks
what a great place !,place,8.0,8.0,rest16_quad_dev_86,RESTAURANT#GENERAL,great,eng_restaurant_train_alltasks
not the typical nyc gimmick theme restaurant .,restaurant,6.12,6.75,rest16_quad_dev_87,AMBIENCE#GENERAL,not the typical,eng_restaurant_train_alltasks
service was very prompt but slightly rushed .,service,6.67,6.83,rest16_quad_dev_88,SERVICE#GENERAL,very prompt,eng_restaurant_train_alltasks
service was very prompt but slightly rushed .,service,4.5,4.83,rest16_quad_dev_88,SERVICE#GENERAL,slightly rushed,eng_restaurant_train_alltasks
i really liked this place .,place,6.88,6.88,rest16_quad_dev_89,RESTAURANT#GENERAL,really liked,eng_restaurant_train_alltasks
"everything i had was good , and i ' m a eater .",NULL,6.38,6.38,rest16_quad_dev_90,FOOD#QUALITY,good,eng_restaurant_train_alltasks
i also recommend the rice dishes or the different varieties of congee ( rice porridge ) .,rice dishes,7.5,7.67,rest16_quad_dev_91,FOOD#QUALITY,recommend,eng_restaurant_train_alltasks
i also recommend the rice dishes or the different varieties of congee ( rice porridge ) .,congee ( rice porridge ),7.5,7.67,rest16_quad_dev_91,FOOD#QUALITY,recommend,eng_restaurant_train_alltasks
i recently tried suan and i thought that it was great .,suan,7.5,7.75,rest16_quad_dev_92,RESTAURANT#GENERAL,great,eng_restaurant_train_alltasks
have been several times and it never dissapoints .,NULL,7.67,7.17,rest16_quad_dev_93,RESTAURANT#GENERAL,never dissapoints,eng_restaurant_train_alltasks
this place is a great bargain .,place,7.38,7.75,rest16_quad_dev_94,RESTAURANT#PRICES,great bargain,eng_restaurant_train_alltasks
people are always friendly .,people,6.5,6.75,rest16_quad_dev_95,SERVICE#GENERAL,always friendly,eng_restaurant_train_alltasks
the best pad thai i ' ve ever had .,pad thai,7.75,8.0,rest16_quad_dev_96,FOOD#QUALITY,best,eng_restaurant_train_alltasks
would n ' t recomend it for dinner !,NULL,3.5,4.33,rest16_quad_dev_97,RESTAURANT#GENERAL,n ' t recomend,eng_restaurant_train_alltasks
"ask for usha , the nicest bartender in manhattan .",usha,7.88,7.88,rest16_quad_dev_98,SERVICE#GENERAL,nicest,eng_restaurant_train_alltasks
the food ' s as good as ever .,food,6.83,6.83,rest16_quad_dev_99,FOOD#QUALITY,good,eng_restaurant_train_alltasks
best drumsticks over rice and sour spicy soup in town !,drumsticks over rice,7.62,7.75,rest16_quad_dev_100,FOOD#QUALITY,best,eng_restaurant_train_alltasks
best drumsticks over rice and sour spicy soup in town !,sour spicy soup,7.75,7.75,rest16_quad_dev_100,FOOD#QUALITY,best,eng_restaurant_train_alltasks
"for those that go once and do n ' t enjoy it , all i can say is that they just do n ' t get it .",NULL,5.0,5.0,rest16_quad_dev_101,RESTAURANT#MISCELLANEOUS,NULL,eng_restaurant_train_alltasks
not worth it .,NULL,1.88,6.25,rest16_quad_dev_102,FOOD#PRICES,not worth,eng_restaurant_train_alltasks
this dish is my favorite and i always get it when i go there and never get tired of it .,dish,7.25,7.0,rest16_quad_dev_103,FOOD#QUALITY,favorite,eng_restaurant_train_alltasks
big wong is a great place to eat and fill your stomach .,big wong,7.38,7.62,rest16_quad_dev_104,RESTAURANT#GENERAL,great,eng_restaurant_train_alltasks
the food is okay and the prices here are mediocre .,food,6.17,5.83,rest16_quad_dev_105,FOOD#QUALITY,okay,eng_restaurant_train_alltasks
the food is okay and the prices here are mediocre .,NULL,5.33,5.5,rest16_quad_dev_105,RESTAURANT#PRICES,mediocre,eng_restaurant_train_alltasks
me and my girls will definitely go back .,NULL,5.0,5.0,rest16_quad_dev_106,RESTAURANT#GENERAL,NULL,eng_restaurant_train_alltasks
the food is great .,food,7.5,7.5,rest16_quad_dev_107,FOOD#QUALITY,great,eng_restaurant_train_alltasks
"la rosa waltzes in , and i think they are doing it the best .",la rosa,7.5,7.3,rest16_quad_dev_108,FOOD#QUALITY,best,eng_restaurant_train_alltasks
"interesting selection , good wines , service fine , fun decor .",selection,7.0,6.83,rest16_quad_dev_109,FOOD#STYLE_OPTIONS,interesting,eng_restaurant_train_alltasks
"interesting selection , good wines , service fine , fun decor .",wines,6.83,6.5,rest16_quad_dev_109,DRINKS#QUALITY,good,eng_restaurant_train_alltasks
"interesting selection , good wines , service fine , fun decor .",service,6.83,6.5,rest16_quad_dev_109,SERVICE#GENERAL,fine,eng_restaurant_train_alltasks
"interesting selection , good wines , service fine , fun decor .",decor,7.0,7.0,rest16_quad_dev_109,AMBIENCE#GENERAL,fun,eng_restaurant_train_alltasks
the food here was mediocre at best .,food,5.0,5.25,rest16_quad_dev_110,FOOD#QUALITY,mediocre at best,eng_restaurant_train_alltasks
the cypriot restaurant has a lot going for it .,cypriot restaurant,6.6,6.6,rest16_quad_dev_111,RESTAURANT#GENERAL,NULL,eng_restaurant_train_alltasks
"will comeback for sure , wish they have it here in la . .",NULL,5.17,5.17,rest16_quad_dev_112,RESTAURANT#GENERAL,NULL,eng_restaurant_train_alltasks
"the space kind of feels like an alice in wonderland setting , without it trying to be that .",space,5.0,5.0,rest16_quad_dev_113,AMBIENCE#GENERAL,NULL,eng_restaurant_train_alltasks
"i paid just about $ 60 for a good meal , though : )",meal,7.17,6.67,rest16_quad_dev_114,FOOD#QUALITY,good,eng_restaurant_train_alltasks
"i paid just about $ 60 for a good meal , though : )",meal,5.0,5.17,rest16_quad_dev_114,FOOD#PRICES,NULL,eng_restaurant_train_alltasks
love it .,NULL,6.8,6.9,rest16_quad_dev_115,RESTAURANT#GENERAL,love,eng_restaurant_train_alltasks
"the place is a bit hidden away , but once you get there , it ' s all worth it .",place,4.67,5.5,rest16_quad_dev_116,LOCATION#GENERAL,a bit hidden away,eng_restaurant_train_alltasks
"the place is a bit hidden away , but once you get there , it ' s all worth it .",place,7.17,7.0,rest16_quad_dev_116,LOCATION#GENERAL,worth,eng_restaurant_train_alltasks
i love their chicken pasta cant remember the name but is sooo good,chicken pasta,7.3,7.3,rest16_quad_dev_117,FOOD#QUALITY,sooo good,eng_restaurant_train_alltasks
i love their chicken pasta cant remember the name but is sooo good,chicken pasta,7.2,7.1,rest16_quad_dev_117,FOOD#QUALITY,love,eng_restaurant_train_alltasks
way below average,NULL,2.67,7.0,rest16_quad_dev_118,RESTAURANT#GENERAL,below average,eng_restaurant_train_alltasks
i think the pizza is so overrated and was under cooked .,pizza,3.83,5.17,rest16_quad_dev_119,FOOD#QUALITY,so overrated,eng_restaurant_train_alltasks
i think the pizza is so overrated and was under cooked .,pizza,3.5,4.5,rest16_quad_dev_119,FOOD#QUALITY,under cooked,eng_restaurant_train_alltasks
i love this place,place,7.2,7.1,rest16_quad_dev_120,RESTAURANT#GENERAL,love,eng_restaurant_train_alltasks
the service was quick and friendly .,service,7.67,7.67,rest16_quad_dev_121,SERVICE#GENERAL,quick,eng_restaurant_train_alltasks
the service was quick and friendly .,service,7.83,7.67,rest16_quad_dev_121,SERVICE#GENERAL,friendly,eng_restaurant_train_alltasks
i thought the restaurant was nice and clean .,restaurant,7.5,7.33,rest16_quad_dev_122,RESTAURANT#GENERAL,nice,eng_restaurant_train_alltasks
i thought the restaurant was nice and clean .,restaurant,7.33,7.5,rest16_quad_dev_122,AMBIENCE#GENERAL,clean,eng_restaurant_train_alltasks
chicken teriyaki had tomato or pimentos on top ? ?,chicken teriyaki,4.12,5.88,rest16_quad_dev_123,FOOD#STYLE_OPTIONS,NULL,eng_restaurant_train_alltasks
the waitress was not attentive at all .,waitress,2.7,7.2,rest16_quad_dev_124,SERVICE#GENERAL,not attentive at all,eng_restaurant_train_alltasks
just go to yamato and order the red dragon roll .,yamato,4.75,5.25,rest16_quad_dev_125,RESTAURANT#GENERAL,NULL,eng_restaurant_train_alltasks
just go to yamato and order the red dragon roll .,red dragon roll,4.75,5.25,rest16_quad_dev_125,FOOD#QUALITY,NULL,eng_restaurant_train_alltasks
favorite sushi in nyc,sushi,8.0,8.25,rest16_quad_dev_126,FOOD#QUALITY,favorite,eng_restaurant_train_alltasks
the rolls are creative and i have yet to find another sushi place that serves up more inventive yet delicious japanese food .,rolls,7.88,7.75,rest16_quad_dev_127,FOOD#STYLE_OPTIONS,creative,eng_restaurant_train_alltasks
the rolls are creative and i have yet to find another sushi place that serves up more inventive yet delicious japanese food .,japanese food,8.12,7.88,rest16_quad_dev_127,FOOD#STYLE_OPTIONS,inventive,eng_restaurant_train_alltasks
the rolls are creative and i have yet to find another sushi place that serves up more inventive yet delicious japanese food .,japanese food,8.0,7.88,rest16_quad_dev_127,FOOD#QUALITY,delicious,eng_restaurant_train_alltasks
my quesadilla tasted like it had been made by a three - year old with no sense of proportion or flavor .,quesadilla,4.67,4.67,rest16_quad_dev_128,FOOD#QUALITY,NULL,eng_restaurant_train_alltasks
my quesadilla tasted like it had been made by a three - year old with no sense of proportion or flavor .,quesadilla,4.67,4.67,rest16_quad_dev_128,FOOD#STYLE_OPTIONS,NULL,eng_restaurant_train_alltasks
save your money and your time and go somewhere else .,NULL,4.5,5.38,rest16_quad_dev_129,RESTAURANT#GENERAL,NULL,eng_restaurant_train_alltasks
"the spinach is fresh , definately not frozen . . .",spinach,7.38,7.62,rest16_quad_dev_130,FOOD#QUALITY,fresh,eng_restaurant_train_alltasks
decor needs to be upgraded but the food is amazing !,decor,6.67,7.17,rest16_quad_dev_131,AMBIENCE#GENERAL,upgraded,eng_restaurant_train_alltasks
decor needs to be upgraded but the food is amazing !,food,8.0,8.17,rest16_quad_dev_131,FOOD#QUALITY,amazing,eng_restaurant_train_alltasks
my daughter ' s wedding reception at water ' s edge received the highest compliments from our guests .,water ' s edge,8.17,8.0,rest16_quad_dev_132,RESTAURANT#MISCELLANEOUS,highest compliments,eng_restaurant_train_alltasks
the high prices you ' re going to pay is for the view not for the food .,view,3.0,7.5,rest16_quad_dev_133,LOCATION#GENERAL,high prices,eng_restaurant_train_alltasks
the high prices you ' re going to pay is for the view not for the food .,food,3.0,7.5,rest16_quad_dev_133,FOOD#QUALITY,high prices,eng_restaurant_train_alltasks
the high prices you ' re going to pay is for the view not for the food .,NULL,3.0,7.5,rest16_quad_dev_133,RESTAURANT#PRICES,high prices,eng_restaurant_train_alltasks
not what i would expect for the price and prestige of this location .,location,4.17,5.5,rest16_quad_dev_134,RESTAURANT#PRICES,NULL,eng_restaurant_train_alltasks
not what i would expect for the price and prestige of this location .,location,4.17,5.5,rest16_quad_dev_134,RESTAURANT#MISCELLANEOUS,NULL,eng_restaurant_train_alltasks
not what i would expect for the price and prestige of this location .,NULL,4.17,5.5,rest16_quad_dev_134,SERVICE#GENERAL,NULL,eng_restaurant_train_alltasks
the food was ok and fair nothing to go crazy .,food,5.62,5.5,rest16_quad_dev_135,FOOD#QUALITY,fair,eng_restaurant_train_alltasks
the food was ok and fair nothing to go crazy .,food,5.75,5.62,rest16_quad_dev_135,FOOD#QUALITY,ok,eng_restaurant_train_alltasks
impressed . . .,NULL,7.62,7.5,rest16_quad_dev_136,RESTAURANT#GENERAL,impressed,eng_restaurant_train_alltasks
subtle food and service,food,6.38,7.25,rest16_quad_dev_137,FOOD#QUALITY,subtle,eng_restaurant_train_alltasks
subtle food and service,service,6.25,7.12,rest16_quad_dev_137,SERVICE#GENERAL,subtle,eng_restaurant_train_alltasks
"food took some time to prepare , all worth waiting for .",food,7.0,6.67,rest16_quad_dev_138,FOOD#QUALITY,worth,eng_restaurant_train_alltasks
"food took some time to prepare , all worth waiting for .",NULL,5.5,5.83,rest16_quad_dev_138,SERVICE#GENERAL,NULL,eng_restaurant_train_alltasks
great find in the west village !,NULL,7.5,7.67,rest16_quad_dev_139,RESTAURANT#GENERAL,great,eng_restaurant_train_alltasks
"when the bill came , nothing was comped , so i told the manager very politely that we were willing to pay for the wine , but i did n ' t think i should have to pay for food with a maggot in it .",NULL,4.12,5.5,rest16_quad_dev_140,SERVICE#GENERAL,NULL,eng_restaurant_train_alltasks
amazing food .,food,8.0,7.88,rest16_quad_dev_141,FOOD#QUALITY,amazing,eng_restaurant_train_alltasks
"rather than preparing vegetarian dish , the chef presented me with a plate of steamed vegetables ( minus sauce , seasoning , or any form or aesthetic presentation ) .",vegetarian dish,5.17,4.67,rest16_quad_dev_142,FOOD#QUALITY,NULL,eng_restaurant_train_alltasks
"rather than preparing vegetarian dish , the chef presented me with a plate of steamed vegetables ( minus sauce , seasoning , or any form or aesthetic presentation ) .",vegetarian dish,5.17,4.67,rest16_quad_dev_142,FOOD#STYLE_OPTIONS,NULL,eng_restaurant_train_alltasks
"rather than preparing vegetarian dish , the chef presented me with a plate of steamed vegetables ( minus sauce , seasoning , or any form or aesthetic presentation ) .",chef,5.17,4.67,rest16_quad_dev_142,SERVICE#GENERAL,NULL,eng_restaurant_train_alltasks
the only thing that strikes you is the decor ? ( not very pleasant ) .,decor,4.17,6.5,rest16_quad_dev_143,AMBIENCE#GENERAL,not very pleasant,eng_restaurant_train_alltasks
the martinis are amazing and very fairly priced .,martinis,7.83,7.83,rest16_quad_dev_144,DRINKS#QUALITY,amazing,eng_restaurant_train_alltasks
the martinis are amazing and very fairly priced .,martinis,6.83,6.67,rest16_quad_dev_144,DRINKS#PRICES,very fairly priced,eng_restaurant_train_alltasks
"i wanted to go there to see if it was worth it and sadly , curiousity got the best of me and i paid dearly for it .",NULL,4.5,4.5,rest16_quad_dev_145,RESTAURANT#GENERAL,NULL,eng_restaurant_train_alltasks
"i wanted to go there to see if it was worth it and sadly , curiousity got the best of me and i paid dearly for it .",NULL,4.17,4.17,rest16_quad_dev_145,RESTAURANT#PRICES,NULL,eng_restaurant_train_alltasks
the environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts .,environment,7.75,8.0,rest16_quad_dev_146,AMBIENCE#GENERAL,very upscale,eng_restaurant_train_alltasks
the environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts .,NULL,7.62,7.75,rest16_quad_dev_146,RESTAURANT#MISCELLANEOUS,very upscale,eng_restaurant_train_alltasks
"however , our $ 14 drinks were were horrible !",drinks,2.0,7.62,rest16_quad_dev_147,DRINKS#PRICES,horrible,eng_restaurant_train_alltasks
"however , our $ 14 drinks were were horrible !",drinks,1.88,7.75,rest16_quad_dev_147,DRINKS#QUALITY,horrible,eng_restaurant_train_alltasks
"once we finally got a table , despite indicating we wanted an alla carte menu we were pushed into a table that was only price fixed !",NULL,5.0,5.0,rest16_quad_dev_148,SERVICE#GENERAL,NULL,eng_restaurant_train_alltasks
i do n ' t appreciate places or people that try to drive up the bill without the patron ' s knowledge so that was a huge turnoff ( more than the price ) .,NULL,4.62,5.12,rest16_quad_dev_149,SERVICE#GENERAL,NULL,eng_restaurant_train_alltasks
i do n ' t appreciate places or people that try to drive up the bill without the patron ' s knowledge so that was a huge turnoff ( more than the price ) .,NULL,4.62,5.12,rest16_quad_dev_149,RESTAURANT#PRICES,NULL,eng_restaurant_train_alltasks
eat at your own risk .,NULL,3.7,6.3,rest16_quad_dev_150,FOOD#QUALITY,NULL,eng_restaurant_train_alltasks
the service was spectacular as the waiter knew everything about the menu and his recommendations were amazing !,service,8.0,8.12,rest16_quad_dev_151,SERVICE#GENERAL,spectacular,eng_restaurant_train_alltasks
the service was spectacular as the waiter knew everything about the menu and his recommendations were amazing !,waiter,8.0,8.0,rest16_quad_dev_151,SERVICE#GENERAL,amazing,eng_restaurant_train_alltasks
the sake ' s complimented the courses very well and is successfully easing me into the sake world .,sake ' s,7.33,7.33,rest16_quad_dev_152,DRINKS#QUALITY,very well,eng_restaurant_train_alltasks
"maybe it was the great company ( i had friends visiting from philly – yes , it was not a date this time ) or the super reasonable price point , but i just can ' t say enough good things about this brasserie .",brasserie,7.33,7.5,rest16_quad_dev_153,RESTAURANT#GENERAL,good,eng_restaurant_train_alltasks
"maybe it was the great company ( i had friends visiting from philly – yes , it was not a date this time ) or the super reasonable price point , but i just can ' t say enough good things about this brasserie .",brasserie,7.5,7.67,rest16_quad_dev_153,RESTAURANT#PRICES,good,eng_restaurant_train_alltasks
i tried a couple other dishes but was n ' t too impressed .,dishes,3.5,5.17,rest16_quad_dev_154,FOOD#QUALITY,n ' t too impressed,eng_restaurant_train_alltasks
the family seafood entree was very good .,family seafood entree,7.67,7.33,rest16_quad_dev_155,FOOD#QUALITY,very good,eng_restaurant_train_alltasks
"the food they serve is not comforting , not appetizing and uncooked .",food,2.38,7.38,rest16_quad_dev_156,FOOD#QUALITY,not comforting,eng_restaurant_train_alltasks
"the food they serve is not comforting , not appetizing and uncooked .",food,2.38,7.38,rest16_quad_dev_156,FOOD#QUALITY,not appetizing,eng_restaurant_train_alltasks
"the food they serve is not comforting , not appetizing and uncooked .",food,2.0,7.75,rest16_quad_dev_156,FOOD#QUALITY,uncooked,eng_restaurant_train_alltasks
supercilious scorn is in .,NULL,5.88,5.62,rest16_quad_dev_157,SERVICE#GENERAL,supercilious,eng_restaurant_train_alltasks
single worst restaurant in manhattan,restaurant,2.5,7.0,rest16_quad_dev_158,RESTAURANT#GENERAL,single worst,eng_restaurant_train_alltasks
it is quite a spectacular scene i ' ll give them that .,scene,7.88,7.75,rest16_quad_dev_159,AMBIENCE#GENERAL,quite a spectacular,eng_restaurant_train_alltasks
"how this place survives the competitive west village market in this economy , or any other for that matter , is beyond me .",place,5.0,5.0,rest16_quad_dev_160,RESTAURANT#GENERAL,NULL,eng_restaurant_train_alltasks
"though it ' s been crowded most times i ' ve gone here , bark always delivers on their food .",bark,5.0,5.0,rest16_quad_dev_161,RESTAURANT#MISCELLANEOUS,NULL,eng_restaurant_train_alltasks
"though it ' s been crowded most times i ' ve gone here , bark always delivers on their food .",food,5.0,5.0,rest16_quad_dev_161,FOOD#QUALITY,NULL,eng_restaurant_train_alltasks
"but nonetheless - - great spot , great food .",spot,7.0,6.88,rest16_quad_dev_162,RESTAURANT#GENERAL,great,eng_restaurant_train_alltasks
"but nonetheless - - great spot , great food .",food,7.0,6.88,rest16_quad_dev_162,FOOD#QUALITY,great,eng_restaurant_train_alltasks
"the food and service were fine , however the maitre - d was incredibly unwelcoming and arrogant .",food,6.5,6.33,rest16_quad_dev_163,FOOD#QUALITY,fine,eng_restaurant_train_alltasks
"the food and service were fine , however the maitre - d was incredibly unwelcoming and arrogant .",service,6.5,6.33,rest16_quad_dev_163,SERVICE#GENERAL,fine,eng_restaurant_train_alltasks
"the food and service were fine , however the maitre - d was incredibly unwelcoming and arrogant .",maitre - d,2.33,7.17,rest16_quad_dev_163,SERVICE#GENERAL,incredibly unwelcoming,eng_restaurant_train_alltasks
"the food and service were fine , however the maitre - d was incredibly unwelcoming and arrogant .",maitre - d,2.33,7.17,rest16_quad_dev_163,SERVICE#GENERAL,arrogant,eng_restaurant_train_alltasks
"a word to the wise : you ca n ' t dine here and disturb the maitre - d ' s sense of table turnover ' ' , as whacked as it is , or else .",maitre - d,5.0,5.0,rest16_quad_dev_164,SERVICE#GENERAL,NULL,eng_restaurant_train_alltasks
i had the lamb special which was perfect .,lamb special,8.38,8.5,rest16_quad_dev_165,FOOD#QUALITY,perfect,eng_restaurant_train_alltasks
do n ' t go to this place !,place,5.17,5.17,rest16_quad_dev_166,RESTAURANT#GENERAL,NULL,eng_restaurant_train_alltasks
when the main course finally arrived ( another 45mins ) half of our order was missing .,NULL,4.62,5.25,rest16_quad_dev_167,SERVICE#GENERAL,NULL,eng_restaurant_train_alltasks
"when we threatened to leave , we were offered a meager discount even though half the order was missing .",NULL,4.5,4.5,rest16_quad_dev_168,SERVICE#GENERAL,NULL,eng_restaurant_train_alltasks
"the bread was stale , the salad was overpriced and empty .",bread,3.17,6.33,rest16_quad_dev_169,FOOD#QUALITY,stale,eng_restaurant_train_alltasks
"the bread was stale , the salad was overpriced and empty .",salad,3.0,6.5,rest16_quad_dev_169,FOOD#PRICES,overpriced,eng_restaurant_train_alltasks
"the bread was stale , the salad was overpriced and empty .",salad,3.0,6.5,rest16_quad_dev_169,FOOD#STYLE_OPTIONS,empty,eng_restaurant_train_alltasks
shame on this place for the horrible rude staff and non - existent customer service .,staff,2.5,7.0,rest16_quad_dev_170,SERVICE#GENERAL,rude,eng_restaurant_train_alltasks
shame on this place for the horrible rude staff and non - existent customer service .,staff,2.38,7.0,rest16_quad_dev_170,SERVICE#GENERAL,horrible,eng_restaurant_train_alltasks
shame on this place for the horrible rude staff and non - existent customer service .,customer service,2.62,6.88,rest16_quad_dev_170,SERVICE#GENERAL,non - existent,eng_restaurant_train_alltasks
the food is good .,food,6.5,6.3,rest16_quad_dev_171,FOOD#QUALITY,good,eng_restaurant_train_alltasks
yum !,NULL,6.62,6.5,rest16_quad_test_1,FOOD#QUALITY,yum,eng_restaurant_train_alltasks
serves really good sushi .,sushi,6.62,6.25,rest16_quad_test_2,FOOD#QUALITY,really good,eng_restaurant_train_alltasks
not the biggest portions but adequate .,portions,4.67,4.5,rest16_quad_test_3,FOOD#STYLE_OPTIONS,not the biggest,eng_restaurant_train_alltasks
not the biggest portions but adequate .,portions,6.0,5.33,rest16_quad_test_3,FOOD#STYLE_OPTIONS,adequate,eng_restaurant_train_alltasks
green tea creme brulee is a must !,green tea creme brulee,7.67,8.0,rest16_quad_test_4,FOOD#QUALITY,must,eng_restaurant_train_alltasks
it has great sushi and even better service .,sushi,7.38,7.5,rest16_quad_test_5,FOOD#QUALITY,great,eng_restaurant_train_alltasks
it has great sushi and even better service .,service,7.88,8.0,rest16_quad_test_5,SERVICE#GENERAL,even better,eng_restaurant_train_alltasks
the entire staff was extremely accomodating and tended to my every need .,staff,7.75,7.88,rest16_quad_test_6,SERVICE#GENERAL,extremely accomodating,eng_restaurant_train_alltasks
i ' ve been to this restaurant over a dozen times with no complaints to date .,restaurant,6.75,6.62,rest16_quad_test_7,RESTAURANT#GENERAL,no complaints,eng_restaurant_train_alltasks
the owner is belligerent to guests that have a complaint .,owner,2.67,6.67,rest16_quad_test_8,SERVICE#GENERAL,belligerent,eng_restaurant_train_alltasks
good food !,food,6.75,6.75,rest16_quad_test_9,FOOD#QUALITY,good,eng_restaurant_train_alltasks
this is a great place to get a delicious meal .,meal,7.83,7.83,rest16_quad_test_10,FOOD#QUALITY,delicious,eng_restaurant_train_alltasks
